1,2010-10-21 11:14:52,0.00,0.00
1,2010-10-21 11:29:57,0.00,0.00
1,2010-10-21 11:45:01,0.00,0.00
1,2010-10-21 11:59:46,0.00,0.00
1,2010-10-21 12:14:50,0.00,0.00
1,2010-10-21 12:29:53,0.00,0.00
1,2010-10-21 12:44:57,0.00,0.00
1,2010-10-21 13:00:00,0.00,0.00
1,2010-10-21 13:14:45,0.00,0.00
1,2010-10-21 13:29:49,0.00,0.00
1,2010-10-21 13:44:49,0.00,0.00
1,2010-10-21 13:59:50,0.00,0.00
1,2010-10-21 14:14:50,0.00,0.00
1,2010-10-21 14:29:48,0.00,0.00
1,2010-10-21 14:44:47,0.00,0.00
1,2010-10-21 14:59:46,0.00,0.00
1,2010-10-21 15:14:46,0.00,0.00
1,2010-10-21 15:30:03,0.00,0.00
2,2010-10-21 15:44:58,157.50,80.03
1,2010-10-21 15:45:01,157.50,80.03
2,2010-10-21 15:59:56,176.81,78.78
1,2010-10-21 15:59:59,176.81,78.78
2,2010-10-21 16:14:54,196.00,74.72
1,2010-10-21 16:14:57,196.00,74.72
2,2010-10-21 16:29:52,213.31,55.42
1,2010-10-21 16:29:55,213.31,55.42
2,2010-10-21 16:44:52,227.31,57.63
1,2010-10-21 16:44:55,227.31,57.63
2,2010-10-21 16:59:52,242.13,59.58
1,2010-10-21 16:59:55,242.13,59.58
2,2010-10-21 17:14:50,262.00,78.46
1,2010-10-21 17:14:53,262.00,78.46
2,2010-10-21 17:29:48,282.50,86.88
1,2010-10-21 17:29:51,282.50,86.88
2,2010-10-21 17:44:45,302.88,83.07
1,2010-10-21 17:44:48,302.88,83.07
1,2010-10-21 17:59:46,323.13,83.14
2,2010-10-21 18:00:01,323.50,82.85
1,2010-10-21 18:14:45,343.44,77.44
2,2010-10-21 18:14:59,343.81,77.28
2,2010-10-21 18:29:47,363.44,75.65
1,2010-10-21 18:29:50,363.44,75.65
2,2010-10-21 18:44:57,383.38,78.94
1,2010-10-21 18:45:01,383.38,78.94
2,2010-10-21 18:59:50,402.88,82.72
1,2010-10-21 18:59:53,402.88,82.72
1,2010-10-21 19:14:46,422.88,76.90
2,2010-10-21 19:15:01,423.25,76.80
2,2010-10-21 19:29:56,443.38,81.09
1,2010-10-21 19:30:00,443.38,81.09
2,2010-10-21 19:44:50,463.44,76.42
1,2010-10-21 19:44:53,463.44,76.42
1,2010-10-21 19:59:47,483.25,76.83
2,2010-10-21 20:00:01,483.63,76.70
2,2010-10-21 20:14:53,500.25,76.22
1,2010-10-21 20:14:57,500.25,76.22
2,2010-10-21 20:29:45,519.13,78.05
1,2010-10-21 20:29:48,519.13,78.05
2,2010-10-21 20:44:57,538.25,80.74
1,2010-10-21 20:45:01,538.25,80.74
2,2010-10-21 20:59:55,557.00,59.17
1,2010-10-21 20:59:58,557.00,59.17
2,2010-10-21 21:04:16,562.19,80.48
2,2010-10-21 21:04:16,562.19,80.48
1,2010-10-21 21:14:43,562.19,80.48
1,2010-10-21 21:29:48,562.19,80.48
2,2010-10-21 21:44:55,611.25,58.72
1,2010-10-21 21:44:58,611.25,58.72
2,2010-10-21 22:14:49,640.25,58.53
1,2010-10-21 22:14:53,640.25,58.53
2,2010-10-21 22:29:54,657.88,76.22
1,2010-10-21 22:29:58,657.88,76.22
2,2010-10-21 22:44:57,677.13,77.70
1,2010-10-21 22:45:00,677.13,77.70
2,2010-10-21 22:59:47,696.31,80.61
1,2010-10-21 22:59:50,696.31,80.61
2,2010-10-21 23:14:52,716.69,80.32
1,2010-10-21 23:14:56,716.69,80.32
2,2010-10-21 23:29:56,734.69,80.35
1,2010-10-21 23:29:59,734.69,80.35
1,2010-10-21 23:44:46,754.44,80.54
2,2010-10-21 23:45:00,754.81,80.54
2,2010-10-21 23:59:46,772.38,80.64
1,2010-10-21 23:59:50,772.38,80.64
2,2010-10-22 00:14:54,790.38,52.90
1,2010-10-22 00:14:57,790.38,52.90
2,2010-10-22 00:29:56,803.75,59.46
1,2010-10-22 00:30:00,803.75,59.46
1,2010-10-22 00:44:46,815.75,57.41
2,2010-10-22 00:45:00,816.00,57.47
2,2010-10-22 00:59:46,827.75,30.43
1,2010-10-22 00:59:49,827.75,30.43
2,2010-10-22 01:14:52,839.19,29.86
1,2010-10-22 01:14:56,839.19,29.86
2,2010-10-22 01:29:57,845.75,12.86
1,2010-10-22 01:30:00,845.75,12.86
1,2010-10-22 01:44:47,848.81,13.92
2,2010-10-22 01:45:01,848.88,13.92
2,2010-10-22 01:59:47,852.13,11.78
1,2010-10-22 01:59:50,852.13,11.78
2,2010-10-22 02:14:48,855.13,12.74
1,2010-10-22 02:14:51,855.13,12.74
2,2010-10-22 02:29:50,858.44,14.91
1,2010-10-22 02:29:54,858.44,14.91
2,2010-10-22 02:44:52,862.13,14.46
1,2010-10-22 02:44:56,862.13,14.46
2,2010-10-22 02:59:54,865.88,14.46
1,2010-10-22 02:59:58,865.88,14.46
2,2010-10-22 03:14:55,869.13,13.31
1,2010-10-22 03:14:59,869.13,13.31
2,2010-10-22 03:29:59,872.38,12.70
1,2010-10-22 03:30:02,872.38,12.70
1,2010-10-22 03:44:47,875.44,11.87
2,2010-10-22 03:45:01,875.56,11.87
2,2010-10-22 03:59:44,878.63,12.77
1,2010-10-22 03:59:47,878.63,12.77
2,2010-10-22 04:14:46,881.81,12.03
1,2010-10-22 04:14:49,881.81,12.03
2,2010-10-22 04:29:49,885.00,12.93
1,2010-10-22 04:29:52,885.00,12.93
2,2010-10-22 04:44:51,888.31,11.81
1,2010-10-22 04:44:54,888.31,11.81
2,2010-10-22 04:59:51,891.38,12.74
1,2010-10-22 04:59:54,891.38,12.74
2,2010-10-22 05:14:55,894.56,13.31
1,2010-10-22 05:14:58,894.56,13.31
2,2010-10-22 05:29:56,897.94,13.34
1,2010-10-22 05:30:00,897.94,13.34
2,2010-10-22 05:44:57,901.25,12.80
1,2010-10-22 05:45:00,901.25,12.80
2,2010-10-22 05:59:59,904.50,14.05
1,2010-10-22 06:00:02,904.50,14.05
2,2010-10-22 06:14:45,907.69,12.77
1,2010-10-22 06:14:48,907.69,12.77
2,2010-10-22 06:29:47,910.69,13.38
