1,2010-10-28 22:03:46,759,729,101,537,700,40,31,1
4,2010-10-28 22:14:47,743,599,1,620,700,99,99,2
1,2010-10-28 22:14:54,757,730,101,536,689,40,40,1
3,2010-10-28 22:14:58,745,637,1,595,700,99,99,2
1,2010-10-28 22:29:47,761,727,101,538,689,40,40,1
3,2010-10-28 22:29:52,729,446,101,713,689,40,40,3
4,2010-10-28 22:29:56,741,545,101,653,689,40,40,1
4,2010-10-28 22:44:45,741,556,101,647,689,40,40,1
1,2010-10-28 22:44:53,757,720,101,543,689,40,40,1
3,2010-10-28 22:44:58,732,448,101,712,689,40,40,1
3,2010-10-28 22:59:47,727,567,69,640,689,40,40,1
4,2010-10-28 22:59:51,730,534,101,660,689,40,40,1
1,2010-10-28 22:59:59,754,714,101,547,689,40,40,1
3,2010-10-28 23:14:18,725,565,69,641,689,40,40,1
1,2010-10-28 23:14:46,750,712,101,548,689,40,40,1
4,2010-10-28 23:14:55,723,532,101,661,689,40,40,1
3,2010-10-28 23:29:49,730,664,69,578,689,40,40,1
4,2010-10-28 23:29:53,725,718,5,544,689,40,40,1
1,2010-10-28 23:30:01,747,709,101,550,689,40,40,1
3,2010-10-28 23:44:26,732,631,1,599,700,99,99,2
4,2010-10-28 23:44:30,739,714,1,546,700,99,99,2
1,2010-10-28 23:44:54,750,714,101,546,689,40,40,1
1,2010-10-28 23:59:45,756,718,101,544,689,40,40,1
3,2010-10-28 23:59:50,743,662,1,580,700,99,99,2
4,2010-10-28 23:59:54,747,696,1,558,700,99,99,2
4,2010-10-29 00:14:49,748,694,1,559,700,99,99,2
1,2010-10-29 00:14:57,756,714,101,546,689,40,40,1
3,2010-10-29 00:15:01,747,658,1,582,700,99,99,2
3,2010-10-29 00:29:47,748,649,1,588,700,99,99,2
4,2010-10-29 00:29:51,748,689,1,562,700,99,99,2
1,2010-10-29 00:29:58,754,711,101,549,689,40,40,1
4,2010-10-29 00:44:47,748,685,1,565,700,99,99,2
1,2010-10-29 00:44:54,754,707,101,551,689,40,40,1
3,2010-10-29 00:44:59,747,640,1,593,700,99,99,2
1,2010-10-29 00:59:48,750,703,101,553,689,40,40,1
3,2010-10-29 00:59:52,745,637,1,596,700,99,99,2
4,2010-10-29 00:59:56,743,678,1,569,700,99,99,2
3,2010-10-29 01:14:48,741,631,1,599,700,99,99,2
4,2010-10-29 01:14:52,739,673,1,573,700,99,99,2
1,2010-10-29 01:14:58,748,702,101,555,689,40,40,1
3,2010-10-29 01:29:43,739,626,1,602,700,99,99,2
4,2010-10-29 01:29:48,738,669,1,575,700,99,99,2
1,2010-10-29 01:29:55,747,698,101,557,689,40,40,1
1,2010-10-29 01:44:50,745,696,101,558,689,40,40,1
3,2010-10-29 01:44:54,736,624,1,604,700,99,99,2
4,2010-10-29 01:44:58,736,666,1,577,700,99,99,2
3,2010-10-29 01:59:47,736,622,1,605,700,99,99,2
4,2010-10-29 01:59:51,734,664,1,578,700,99,99,2
1,2010-10-29 01:59:59,743,694,101,559,689,40,40,1
1,2010-10-29 02:14:51,743,691,101,561,689,40,40,1
3,2010-10-29 02:14:55,734,621,1,606,700,99,99,2
4,2010-10-29 02:15:00,732,662,1,580,700,99,99,2
4,2010-10-29 02:29:46,730,660,1,581,700,99,99,2
1,2010-10-29 02:29:53,739,693,101,560,689,40,40,1
3,2010-10-29 02:29:58,732,621,1,606,700,99,99,2
1,2010-10-29 02:44:47,739,691,101,561,689,40,40,1
3,2010-10-29 02:44:51,730,622,1,605,700,99,99,2
4,2010-10-29 02:44:55,730,649,1,587,700,99,99,2
4,2010-10-29 02:59:46,727,653,1,585,700,99,99,2
1,2010-10-29 02:59:54,738,687,101,563,689,40,40,1
3,2010-10-29 02:59:58,729,624,1,603,700,99,99,2
4,2010-10-29 03:14:46,727,651,1,586,700,99,99,2
1,2010-10-29 03:14:53,736,687,101,563,689,40,40,1
3,2010-10-29 03:14:58,727,624,1,604,700,99,99,2
4,2010-10-29 03:29:49,725,649,1,588,700,99,99,2
1,2010-10-29 03:29:56,736,685,101,565,689,40,40,1
3,2010-10-29 03:30:00,727,621,1,606,700,99,99,2
3,2010-10-29 03:44:46,725,649,1,588,700,99,99,2
4,2010-10-29 03:44:50,723,637,1,595,700,99,99,2
1,2010-10-29 03:44:58,734,682,101,567,689,40,40,1
3,2010-10-29 03:59:46,721,667,1,576,700,99,99,2
4,2010-10-29 03:59:51,721,637,1,596,700,99,99,2
1,2010-10-29 03:59:58,732,682,101,567,689,40,40,1
1,2010-10-29 04:14:45,730,682,101,567,689,40,40,1
3,2010-10-29 04:14:50,721,664,1,578,700,99,99,2
4,2010-10-29 04:14:54,720,635,1,597,700,99,99,2
