2010-10-28 01:42:15,2010-10-29 18:35:41,6
2010-11-01 14:19:20,2010-11-01 14:59:44,6
2010-11-01 15:06:32,2010-11-01 15:59:47,6
2010-11-07 00:44:59,2010-11-07 01:00:00,6
2010-11-07 00:44:59,2010-11-07 01:00:00,6
2010-11-07 00:44:59,2010-11-07 01:00:00,6
2010-11-07 00:44:59,2010-11-07 01:00:00,6
2010-11-07 00:44:48,2010-11-07 01:00:01,6
2010-11-07 00:59:43,2010-11-07 01:14:43,6
2010-11-07 00:59:45,2010-11-07 01:14:45,6
2010-11-07 00:59:47,2010-11-07 01:14:47,6
2010-11-07 00:59:49,2010-11-07 01:14:49,6
2010-11-07 00:59:49,2010-11-07 01:14:49,6
2010-11-07 00:59:49,2010-11-07 01:14:49,6
2010-11-07 00:59:49,2010-11-07 01:14:49,6
2010-11-07 00:59:49,2010-11-07 01:14:49,6
2010-11-07 00:59:50,2010-11-07 01:14:50,6
2010-11-07 00:59:52,2010-11-07 01:14:51,6
2010-11-07 00:59:52,2010-11-07 01:14:52,6
2010-11-07 00:59:52,2010-11-07 01:14:52,6
2010-11-07 00:59:53,2010-11-07 01:14:53,6
2010-11-07 00:59:55,2010-11-07 01:14:55,6
2010-11-07 00:59:56,2010-11-07 01:14:56,6
2010-11-07 00:59:58,2010-11-07 01:14:58,6
2010-11-08 16:29:51,2010-11-08 17:29:43,1
2010-11-08 19:59:50,2010-11-08 21:14:53,1
2010-11-08 23:14:48,2010-11-09 02:59:49,6
2010-11-09 16:44:54,2010-11-09 16:59:48,1
2010-11-09 22:14:59,2010-11-09 23:14:55,6
2010-11-10 08:54:09,2010-11-10 10:14:50,6
2010-11-10 14:45:00,2010-11-10 14:59:53,1
2010-11-10 16:14:54,2010-11-10 16:29:45,1
2010-12-01 08:59:57,2010-12-01 09:30:02,6
2010-12-03 11:14:48,2010-12-03 12:29:49,6
2010-12-05 22:29:52,2010-12-05 23:14:54,6
2010-12-07 02:29:44,2010-12-07 03:14:53,6
2010-12-08 09:44:51,2010-12-08 09:59:44,6
2010-12-11 13:29:52,2010-12-11 13:44:44,6
2010-12-11 18:29:52,2010-12-11 23:14:48,6
2010-12-12 20:29:48,2010-12-12 21:29:58,6
2010-12-12 22:59:51,2010-12-12 23:14:50,6
2010-12-13 09:44:41,2010-12-13 11:14:58,6
2010-12-13 12:29:59,2010-12-13 12:44:43,6
2010-12-14 11:29:47,2010-12-14 12:59:42,6
2010-12-15 08:59:44,2010-12-15 14:59:42,6
2010-12-15 10:59:44,2010-12-15 16:15:01,6
2010-12-16 08:59:43,2010-12-16 09:45:01,6
2010-12-17 09:00:01,2010-12-17 11:14:56,6
2010-12-17 10:44:48,2010-12-17 14:44:46,6
2010-12-18 08:14:47,2010-12-18 10:30:00,6
2010-12-18 10:14:45,2010-12-18 14:15:01,6
2010-12-19 08:14:48,2010-12-19 08:59:48,6
2010-12-22 08:15:01,2010-12-22 12:29:54,6
